Price,Close,High,Low,Open,Volume
Ticker,YM=F,YM=F,YM=F,YM=F,YM=F
Date,,,,,
2021-02-11,31359.0,31465.0,31168.0,31370.0,135567
2021-02-12,31397.0,31420.0,31216.0,31350.0,111287
2021-02-16,31458.0,31662.0,31373.0,31425.0,184813
2021-02-17,31549.0,31581.0,31269.0,31470.0,179745
2021-02-18,31431.0,31632.0,31228.0,31555.0,194049
2021-02-19,31433.0,31583.0,31302.0,31445.0,159132
2021-02-22,31466.0,31592.0,31190.0,31460.0,214656
2021-02-23,31492.0,31615.0,31103.0,31500.0,295740
2021-02-24,31916.0,31964.0,31322.0,31481.0,247680
2021-02-25,31371.0,32033.0,31247.0,31939.0,332307
2021-02-26,30912.0,31456.0,30803.0,31308.0,372581
2021-03-01,31509.0,31637.0,30934.0,30981.0,207992
2021-03-02,31358.0,31587.0,31281.0,31537.0,207247
2021-03-03,31236.0,31609.0,31216.0,31364.0,255151
2021-03-04,30878.0,31436.0,30512.0,31259.0,410089
2021-03-05,31465.0,31545.0,30641.0,30899.0,342921
2021-03-08,31776.0,32114.0,31287.0,31562.0,289385
2021-03-09,31811.0,32118.0,31792.0,31857.0,202658
2021-03-10,32279.0,32373.0,31727.0,31868.0,216993
2021-03-11,32479.0,32641.0,32254.0,32352.0,165767
2021-03-12,32772.0,32822.0,32389.0,32494.0,110352
2021-03-15,32957.0,32967.0,32624.0,32834.0,67981
2021-03-16,32835.0,32972.0,32773.0,32941.0,53893
2021-03-17,33017.0,33053.0,32780.0,32862.0,38627
2021-03-18,32880.0,33233.0,32842.0,33024.0,35814
2021-03-19,32807.859375,32994.0,32807.859375,32899.0,210458
2021-03-22,32619.0,32688.0,32314.0,32467.0,151375
2021-03-23,32306.0,32689.0,32235.0,32644.0,180140
2021-03-24,32319.0,32669.0,32232.0,32348.0,206190
2021-03-25,32501.0,32569.0,31951.0,32338.0,254556
2021-03-26,32954.0,32984.0,32496.0,32554.0,188389
2021-03-29,33032.0,33134.0,32746.0,32951.0,195237
2021-03-30,32925.0,33129.0,32859.0,33063.0,166336
2021-03-31,32898.0,33045.0,32866.0,32938.0,140701
2021-04-01,33037.0,33060.0,32842.0,32912.0,139328
2021-04-05,33415.0,33504.0,33157.0,33236.0,120599
2021-04-06,33315.0,33454.0,33266.0,33417.0,136526
2021-04-07,33328.0,33407.0,33233.0,33333.0,129135
2021-04-08,33390.0,33464.0,33227.0,33344.0,122888
2021-04-09,33682.0,33694.0,33371.0,33451.0,131737
2021-04-12,33631.0,33686.0,33550.0,33660.0,127100
2021-04-13,33570.0,33712.0,33431.0,33647.0,159142
2021-04-14,33624.0,33800.0,33519.0,33575.0,169919
2021-04-15,33923.0,33962.0,33652.0,33661.0,140823
2021-04-16,34081.0,34144.0,33880.0,33940.0,123262
2021-04-19,33958.0,34048.0,33860.0,34015.0,151906
2021-04-20,33703.0,34066.0,33572.0,33996.0,168388
2021-04-21,34016.0,34040.0,33625.0,33692.0,145322
